date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-15,3434.37,3616.16,3357.78,3613.55,3613.55,428507.0,0.0,1.0
2021-09-14,3285.09,3437.05,3269.95,3434.37,3434.37,373634.0,0.0,1.0
2021-09-13,3404.3,3430.3,3108.49,3285.35,3285.35,647855.0,0.0,1.0
2021-09-12,3267.1,3474.16,3231.1,3404.21,3404.21,408858.0,0.0,1.0
2021-09-11,3208.85,3348.37,3200.0,3267.21,3267.21,413524.0,0.0,1.0
2021-09-10,3424.94,3514.11,3150.0,3208.86,3208.86,633026.0,0.0,1.0
2021-09-09,3499.01,3567.06,3390.4,3424.93,3424.93,628553.0,0.0,1.0
2021-09-08,3434.84,3560.0,3215.16,3499.0,3499.0,780611.0,0.0,1.0
2021-09-07,3926.67,3947.15,3005.0,3434.57,3434.57,1203536.0,0.0,1.0
2021-09-06,3950.28,3970.0,3864.3,3926.77,3926.77,397768.0,0.0,1.0
2021-09-05,3885.61,3980.0,3830.0,3950.29,3950.29,365759.0,0.0,1.0
2021-09-04,3938.11,3970.0,3832.5,3885.52,3885.52,364478.0,0.0,1.0
2021-09-03,3785.82,4027.88,3705.05,3938.11,3938.11,655903.0,0.0,1.0
2021-09-02,3826.82,3836.8,3717.04,3785.82,3785.82,525165.0,0.0,1.0
2021-09-01,3429.19,3842.0,3382.22,3826.82,3826.82,845759.0,0.0,1.0
2021-08-31,3229.14,3476.0,3188.77,3429.2,3429.2,863071.0,0.0,1.0
2021-08-30,3223.47,3347.95,3143.0,3229.64,3229.64,625347.0,0.0,1.0
2021-08-29,3244.75,3285.0,3152.34,3223.47,3223.47,335806.0,0.0,1.0
2021-08-28,3273.89,3287.0,3210.31,3244.48,3244.48,262360.0,0.0,1.0
2021-08-27,3093.06,3280.0,3060.18,3273.45,3273.45,451027.0,0.0,1.0
2021-08-26,3226.88,3250.0,3053.3,3093.2,3093.2,442298.0,0.0,1.0
2021-08-25,3170.63,3248.0,3080.0,3226.87,3226.87,483697.0,0.0,1.0
2021-08-24,3321.28,3357.85,3147.31,3170.62,3170.62,540480.0,0.0,1.0
2021-08-23,3238.0,3377.89,3230.02,3321.28,3321.28,602103.0,0.0,1.0
2021-08-22,3223.36,3272.0,3126.42,3238.0,3238.0,406479.0,0.0,1.0
2021-08-21,3284.81,3309.16,3207.0,3223.43,3223.43,421156.0,0.0,1.0
2021-08-20,3184.11,3300.0,3177.16,3284.82,3284.82,558127.0,0.0,1.0
2021-08-19,3014.18,3188.0,2958.33,3184.12,3184.12,634769.0,0.0,1.0
2021-08-18,3011.73,3125.81,2950.0,3014.55,3014.55,625103.0,0.0,1.0
2021-08-17,3147.18,3290.0,2991.89,3011.72,3011.72,804996.0,0.0,1.0
2021-08-16,3307.35,3335.0,3135.22,3146.53,3146.53,635667.0,0.0,1.0
2021-08-15,3263.16,3320.0,3111.13,3307.09,3307.09,565579.0,0.0,1.0
2021-08-14,3322.33,3330.98,3200.0,3263.16,3263.16,486102.0,0.0,1.0
2021-08-13,3046.11,3327.83,3033.8,3322.32,3322.32,579333.0,0.0,1.0
2021-08-12,3160.4,3239.0,2979.29,3045.96,3045.96,737628.0,0.0,1.0
2021-08-11,3141.14,3274.0,3120.27,3160.5,3160.5,732546.0,0.0,1.0
2021-08-10,3160.51,3233.0,3051.22,3141.66,3141.66,880675.0,0.0,1.0
2021-08-09,3011.84,3186.0,2893.23,3160.52,3160.52,1129584.0,0.0,1.0
2021-08-08,3160.48,3189.99,2949.03,3011.85,3011.85,966349.0,0.0,1.0
2021-08-07,2891.54,3171.0,2865.5,3160.31,3160.31,1205277.0,0.0,1.0
2021-08-06,2827.01,2946.75,2720.06,2891.58,2891.58,825399.0,0.0,1.0
2021-08-05,2724.55,2843.98,2529.91,2826.99,2826.99,1307720.0,0.0,1.0
2021-08-04,2508.51,2772.71,2457.68,2724.78,2724.78,954590.0,0.0,1.0
2021-08-03,2606.92,2632.44,2442.32,2509.04,2509.04,792960.0,0.0,1.0
2021-08-02,2555.5,2666.0,2507.0,2606.93,2606.93,726701.0,0.0,1.0
2021-08-01,2531.1,2697.61,2511.24,2555.69,2555.69,853495.0,0.0,1.0
2021-07-31,2461.77,2553.86,2420.68,2531.05,2531.05,507601.0,0.0,1.0
2021-07-30,2382.93,2471.7,2315.92,2461.81,2461.81,762577.0,0.0,1.0
